country,name,numeric_id,death_cancer_all,death_breast,death_colon,death_liver,death_mouth,death_oesophagus,daly_breast,daly_colon,daly_liver,daly_mouth,daly_oesophagus,oral_cancer_rate,oral_cancer_cases,cancer_surgery,cancer_registry,cancer_plan,breast_screening,cancer_dept
AFG,Afghanistan,4,119.824176666,14.5,8.8,4.9,12.1,18.9,244.0,150.0,65.7,176.0,236.0,4.6,913.0,Yes,Yes,No response,No,Yes
ALB,Albania,8,100.051438355,14.7,17.7,4.1,5.7,1.9,193.0,165.0,35.6,60.0,19.0,1.8,106.0,Yes,No,Yes,Yes,Yes
DZA,Algeria,12,110.852264353,9.3,6.7,1.3,6.4,1.1,109.0,58.0,10.7,64.0,8,0.68,293.0,Yes,Yes,Yes,Yes,Yes
AND,Andorra,20,,10.0,17.0,5.9,3.5,3.1,138.0,161.0,46.4,44.0,34.0,,,Yes,No,Yes,Yes,Yes
AGO,Angola,24,118.190649838,18.9,7.0,9.8,20.7,8.2,218.0,71.0,117.5,172.0,89.0,3.3,482.0,Yes,No,No,No,Yes
ATG,Antigua and Barbuda,28,163.878023299,19.8,10.8,6.3,3.7,2.3,283.0,74.0,42.9,37.0,7,,,Yes,No,No,No,Yes
ARG,Argentina,32,157.46278537,14.5,16.2,4.2,2.6,5.2,169.0,142.0,36.9,29.0,45.0,2.3,1304.0,Don't know,Yes,Yes,Yes,Don't know
ARM,Armenia,51,170.717799957,22.2,8.4,4.5,4.9,2.6,310.0,90.0,39.5,53.0,23.0,0.98,47.0,Yes,No,Yes,Yes,Yes
AUS,Australia,36,136.142282015,10.7,16.2,3.1,2.6,4.2,171.0,160.0,28.6,28.0,35.0,6.5,2788.0,Yes,Yes,Yes,Yes,Yes
AUT,Austria,40,145.810293555,11.3,16.2,5.3,4.2,2.4,135.0,142.0,48.2,53.0,24.0,3.4,565.0,Yes,Yes,Yes,Yes,Yes
AZE,Azerbaijan,31,83.958727382,9.7,3.4,2.4,2.2,9.2,151.0,42.0,23.4,25.0,94.0,1.8,202.0,Yes,No,Yes,No,Yes
BHS,Bahamas,44,143.12728657,15.5,10.7,4.9,3.5,2,219.0,128.0,45.0,40.0,20.0,1.0,5.0,Yes,Yes,Yes,No,Yes
BHR,Bahrain,48,81.762074423,9.1,6.0,7.4,3.3,5,116.0,54.0,57.2,23.0,24.0,1.6,18.0,Yes,Yes,Yes,Yes,Yes
BGD,Bangladesh,50,115.912472033,7.8,1.3,1.7,24.8,12.0,84.0,14.0,17.3,223.0,116.0,9.5,13985.0,Yes,No,Yes,No,Yes
BRB,Barbados,52,140.050502517,19.3,11.3,4.3,5.1,3.2,261.0,111.0,38.9,61.0,22.0,1.4,10.0,Yes,Yes,Yes,No,Yes
BLR,Belarus,112,159.749978991,11.3,17.7,2.5,5.9,2.8,153.0,163.0,26.2,76.0,32.0,4.2,686.0,Yes,Yes,Yes,Yes,Yes
BEL,Belgium,56,114.055670226,15.3,17.1,3.4,4.1,3.7,200.0,153.0,27.7,56.0,38.0,4.6,992.0,Yes,Yes,Yes,Yes,Yes
BLZ,Belize,84,124.408984953,5.8,4.2,11.7,1.9,3.2,47.0,45.0,118.2,15.0,17.0,,,No,No,Yes,No,No
BEN,Benin,204,106.243499534,17.6,6.7,18.3,5.0,2,204.0,70.0,191.6,55.0,19.0,0.93,74.0,No,Yes,Yes,No,No
BTN,Bhutan,64,84.96458966,7.6,4.9,2.2,15.5,11.2,79.0,41.0,20.9,136.0,92.0,3.0,21.0,Yes,Yes,Yes,Yes,Yes
BOL,"Bolivia, Plurinational State of",68,135.24656959,15.8,16.9,4.6,7.5,3.3,179.0,144.0,46.9,63.0,25.0,0.62,73.0,Yes,Yes,No,No,Yes
BIH,Bosnia and Herzegovina,70,183.853552993,7.8,12.0,10.8,2.8,1.1,124.0,131.0,111.6,30.0,11.0,3.1,198.0,Yes,No,Yes,Yes,Yes
BWA,Botswana,72,98.900729972,13.2,4.3,3.1,16.6,6.1,126.0,40.0,29.0,145.0,49.0,3.5,60.0,Yes,Yes,Yes,No,Yes
BRA,Brazil,76,137.839313575,14.2,10.7,2.7,5.7,5.2,177.0,103.0,26.3,66.0,50.0,3.6,9839.0,Don't know,Yes,Yes,Yes,Don't know
BRN,Brunei Darussalam,96,134.290721169,7.1,11.4,7.9,8.0,2.9,102.0,101.0,65.5,92.0,20.0,0.59,2.0,Yes,Yes,Yes,Yes,Yes
BGR,Bulgaria,100,120.143150569,9.9,16.8,6.3,3.0,1.5,128.0,164.0,62.3,38.0,17.0,3.3,455.0,Yes,Yes,Yes,Yes,Yes
BFA,Burkina Faso,854,149.115745269,21.8,4.7,24.6,7.2,5.4,248.0,40.0,328.0,68.0,62.0,1.7,179.0,Yes,Yes,Yes,Yes,Yes
BDI,Burundi,108,131.967846939,9.8,6.9,19.0,8.2,22.8,105.0,61.0,190.0,87.0,193.0,1.6,92.0,No,No,Yes,No,No
CPV,Cabo Verde,132,128.89625344,12.6,4.5,12.6,3.3,1.4,140.0,40.0,109.9,31.0,12.0,6.0,31.0,No,No,No,No,No
KHM,Cambodia,116,150.739449323,14.6,10.1,10.0,12.0,3.4,196.0,115.0,132.3,120.0,34.0,3.9,502.0,No,No,Yes,Yes,No
CMR,Cameroon,120,84.297370062,17.9,3.3,42.2,5.7,0.9,192.0,54.0,410.5,83.0,11.0,1.5,228.0,Yes,No,Yes,No,Yes
CAN,Canada,124,143.480521642,12.0,15.4,3.1,2.5,3.3,172.0,154.0,28.1,27.0,29.0,4.2,2993.0,Yes,Yes,Yes,Yes,Yes
CAF,Central African Republic,140,116.39455172,10.1,2.9,30.0,6.1,1.5,104.0,36.0,340.5,63.0,14.0,1.4,35.0,Yes,No,Yes,No,Yes
TCD,Chad,148,115.279436656,10.4,3.0,32.3,6.5,1.6,111.0,39.0,381.8,71.0,16.0,1.6,119.0,No,No,Yes,No,No
CHL,Chile,152,139.671884006,7.4,9.9,5.1,1.3,5,87.0,76.0,38.7,11.0,30.0,1.0,295.0,Yes,Yes,Yes,Yes,Yes
CHN,China,156,133.718524419,4.9,8.7,24.1,2.8,20.7,68.0,81.0,270.9,34.0,184.0,1.3,30117.0,Yes,Yes,Yes,Yes,Yes
COL,Colombia,170,84.23139278,7.3,7.6,2.3,2.7,2.8,89.0,73.0,21.7,27.0,23.0,1.4,914.0,Yes,Yes,Yes,Yes,Yes
COM,Comoros,174,86.083335413,6.9,5.6,14.8,6.4,18.1,73.0,43.0,134.4,61.0,140.0,1.0,5.0,No,No,No,No,Yes
COG,Congo,178,60.45391018,9.8,7.8,23.0,6.5,1.1,119.0,53.0,197.8,57.0,8,0.52,16.0,Yes,Yes,No,No,Yes
COD,"Congo, Democratic Republic of the",180,99.123243919,6.2,1.3,32.7,3.1,0.4,64.0,25.0,407.2,42.0,9,1.0,485.0,Yes,No,Yes,No,Yes
COK,Cook Islands,184,,3.9,2.6,8.5,1.6,1.1,63.0,19.0,71.2,26.0,8,,,No,No,Yes,Yes,No
CRI,Costa Rica,188,83.934194038,8.2,11.3,6.9,1.9,1.6,96.0,101.0,55.7,21.0,13.0,1.2,80.0,Yes,Yes,Yes,Yes,Yes
HRV,Croatia,191,147.872792899,12.7,21.6,5.9,5.9,2.7,165.0,207.0,50.6,75.0,30.0,4.2,339.0,Yes,Yes,Yes,Yes,Yes
CUB,Cuba,192,173.152807071,8.7,12.6,4.4,4.3,3.7,108.0,104.0,37.5,42.0,35.0,5.2,1084.0,Yes,Yes,Yes,Yes,Yes
CYP,Cyprus,196,81.756200013,10.0,7.6,4.9,1.3,0.6,120.0,63.0,39.6,14.0,6,1.8,36.0,Yes,Yes,Yes,Yes,Yes
CZE,Czechia,203,128.767666755,12.8,28.3,5.8,4.6,3,141.0,269.0,51.4,59.0,33.0,4.3,891.0,Yes,Yes,Yes,Yes,Yes
CIV,Côte d'Ivoire,384,93.36371241,15.6,5.8,20.6,6.7,1.6,208.0,70.0,241.4,67.0,21.0,1.3,181.0,No,Yes,Yes,No,No
DNK,Denmark,208,169.254420508,16.9,24.2,3.1,3.8,5.1,202.0,209.0,27.4,43.0,49.0,3.6,404.0,Yes,Yes,Yes,Yes,Yes
DJI,Djibouti,262,71.018532473,6.0,4.2,12.6,5.5,14.0,87.0,45.0,147.0,67.0,139.0,1.8,14.0,Yes,No,No,No,No
DMA,Dominica,212,,18.2,10.6,6.9,3.9,4.7,286.0,113.0,100.5,29.0,52.0,,,No,No,No,Yes,Yes
DOM,Dominican Republic,214,107.47692219,11.6,10.7,7.1,8.1,2.8,164.0,93.0,59.4,67.0,22.0,1.1,130.0,Yes,Yes,Yes,Yes,Yes
ECU,Ecuador,218,90.050919911,6.6,6.2,5.1,1.6,1.7,85.0,61.0,43.3,15.0,12.0,1.2,233.0,Yes,Yes,Yes,Yes,Yes
EGY,Egypt,818,161.458603203,8.7,3.6,5.5,0.9,1.5,128.0,50.0,64.1,9,18.0,1.6,1319.0,No response,Yes,Yes,No response,No response
SLV,El Salvador,222,68.735267623,4.2,4.2,3.8,2.1,2.2,54.0,38.0,34.1,21.0,18.0,1.4,107.0,Yes,No,Yes,Yes,Yes
GNQ,Equatorial Guinea,226,84.930041327,10.2,3.2,33.7,6.9,1.7,113.0,41.0,399.9,74.0,17.0,2.3,16.0,No,No,Yes,No,No
ERI,Eritrea,232,86.610404737,7.4,5.2,13.8,6.1,17.2,73.0,40.0,122.8,56.0,134.0,1.9,43.0,No,No,Yes,No,No
EST,Estonia,233,130.485542771,12.2,18.1,3.7,4.5,3.1,146.0,146.0,30.6,56.0,29.0,3.0,82.0,Yes,Yes,Yes,Yes,Yes
SWZ,Eswatini,748,97.128469944,6.8,3.8,13.5,4.3,12.7,69.0,31.0,26.8,37.0,110.0,0.99,8.0,Yes,Yes,Yes,Yes,Yes
ETH,Ethiopia,231,83.676059449,9.9,7.2,11.8,9.7,32.5,103.0,54.0,110.2,86.0,223.0,1.8,1265.0,Yes,Yes,Yes,Yes,Yes
FJI,Fiji,242,141.10797679,9.9,2.7,3.4,2.2,17.3,139.0,32.0,38.7,28.0,200.0,2.9,26.0,Yes,Yes,Yes,No,Yes
FIN,Finland,246,127.808377728,9.8,10.8,4,1.7,2.2,126.0,101.0,34.1,18.0,20.0,3.0,390.0,Yes,Yes,Yes,Yes,Yes
FRA,France,250,166.660252542,14.0,18.2,7.5,6.5,5.3,182.0,165.0,65.8,85.0,55.0,5.4,6577.0,Yes,Yes,Yes,Yes,Yes
GAB,Gabon,266,117.189990592,7.0,5.2,8,13.6,4.2,81.0,48.0,105.4,125.0,39.0,3.6,50.0,Yes,No,No,Yes,Yes
GMB,Gambia,270,80.699806328,5.3,3.9,55.4,3.9,4.2,55.0,36.0,569.1,41.0,30.0,0.4,4.0,Yes,Yes,No,No,No
GEO,Georgia,268,98.933256528,9.3,3.9,3.4,2.9,1.1,134.0,47.0,35.8,34.0,12.0,2.7,188.0,Yes,Yes,No,Yes,Yes
DEU,Germany,276,153.843474113,13.0,18.2,3.9,3.8,3.5,161.0,161.0,33.7,48.0,37.0,4.3,7333.0,Yes,Yes,Yes,Yes,Yes
GHA,Ghana,288,100.023097708,13.0,6.0,17.3,4.7,1.9,155.0,66.0,186.9,54.0,19.0,0.95,194.0,No,Yes,No,No,No
GRC,Greece,300,118.37264371,11.7,11.9,7.7,1.7,1.3,142.0,99.0,57.6,20.0,11.0,2.4,603.0,Yes,No,Yes,Yes,Yes
GRD,Grenada,308,155.246208385,17.1,15.0,0.4,11.8,8.5,225.0,154.0,2.0,132.0,88.0,,,Yes,Yes,No,No,Yes
GTM,Guatemala,320,110.485168865,9.4,6.9,4.9,2.6,1.8,123.0,65.0,43.0,29.0,14.0,1.3,164.0,Yes,No,Yes,Yes,Yes
GIN,Guinea,324,94.841702814,9.2,7.0,36.6,4.8,0.8,102.0,52.0,400.6,47.0,12.0,0.95,67.0,Yes,Yes,Yes,Yes,Yes
GNB,Guinea-Bissau,624,125.836405022,18.5,7.5,21.2,5.8,2.3,221.0,80.0,225.6,64.0,23.0,1.2,12.0,No response,No,No,No,No response
GUY,Guyana,328,97.104045667,13.3,8.5,4.9,3.2,1.8,190.0,70.0,46.7,38.0,16.0,1.3,11.0,Yes,Yes,No,No,Yes
HTI,Haiti,332,167.964666719,1.3,7.0,13.1,1.6,6.7,15.0,49.0,99.8,15.0,48.0,1.4,130.0,No,No,No,Yes,No
HND,Honduras,340,121.517303756,10.8,7.9,6.2,3.0,2.1,142.0,73.0,51.0,31.0,16.0,1.1,89.0,No,Yes,No,No,No
HUN,Hungary,348,218.890955643,14.5,29.3,5.8,12.2,4.6,166.0,253.0,55.1,176.0,56.0,6.3,1153.0,Yes,No,No,Yes,Yes
ISL,Iceland,352,141.227704227,10.8,14.6,1.2,2.5,2.8,148.0,128.0,5.9,22.0,24.0,1.8,13.0,Yes,Yes,Yes,Yes,Yes
IND,India,356,80.122983032,7.4,5.1,1.9,15.7,10.5,80.0,46.0,19.2,146.0,91.0,9.8,135929.0,Yes,Yes,Yes,Yes,Yes
IDN,Indonesia,360,94.671920426,13.4,16.4,10.7,6.5,1.1,168.0,147.0,107.5,80.0,8,2.0,5780.0,Yes,Yes,No,Yes,Yes
IRN,"Iran, Islamic Republic of",364,88.4625209,5.7,6.6,1.8,3.2,22.2,85.0,76.0,19.3,31.0,199.0,1.3,1139.0,Yes,Yes,Yes,Yes,Yes
IRQ,Iraq,368,98.226244612,12.5,7.5,1,8.1,1.9,192.0,120.0,14.2,114.0,24.0,1.1,264.0,Yes,Yes,Yes,Yes,Yes
